aces_ratio_p2,set5_games_p1,set5_games_p2,double_faults_p1,double_faults_p2,set4_games_p2,set4_games_p1,first_serve_percent_p1,first_serve_percent_p2,aces_ratio_p1,second_serve_points_won_dividend_p1,first_serve_points_won_divisor_p1,first_serve_points_won_divisor_p2,second_serve_points_won_dividend_p2,duration,first_serve_percent_points_won_p2,first_serve_divisor_p2,match_date,first_serve_divisor_p1,first_serve_percent_points_won_p1,first_serve_dividend_p1,first_serve_dividend_p2,first_serve_points_won_dividend_p2,first_serve_points_won_dividend_p1,tournament,aces_p1,aces_p2,second_serve_points_won_divisor_p1,double_fouls_p1,double_fouls_p2,winner_name,second_serve_points_won_divisor_p2,second_serve_percent_points_won_p2,second_serve_percent_points_won_p1,p2,p1,set1_games_p1,set2_games_p1,set2_games_p2,sets_duration,set1_games_p2,set3_games_p2,set3_games_p1,round
0.0,,,1,3,,,76,37,100.0,7,31,18,14,00:54:00,67,49,,41,81,31,18,12,25,Australian Open,8,0,10,,,T. Fritz,31,45,70,H. Moriya,T. Fritz,6,6,1,2,3,,,1st Round Qualifying
0.0,,,3,3,,,64,55,100.0,15,50,41,19,01:26:00,51,74,,78,76,50,41,21,38,Australian Open,8,0,28,,,E. Gerasimov,33,58,54,N. Langer,E. Gerasimov,4,6,2,3,6,0,6,1st Round Qualifying
52.94117647058824,,,5,3,,,60,57,47.05882352941176,18,55,52,20,02:13:00,75,92,,91,71,55,52,39,39,Australian Open,8,9,36,,,M. Chiudinelli,40,50,50,M. Krueger,M. Chiudinelli,6,2,6,3,4,4,6,1st Round Qualifying
37.5,,,2,3,,,65,63,62.5,14,44,53,17,01:29:00,72,84,,68,86,44,53,38,38,Australian Open,15,9,24,,,M. Copil,31,55,58,G. Naso,M. Copil,7,6,4,2,6,,,1st Round Qualifying
40.0,,,1,2,,,57,61,60.0,11,26,36,9,01:12:00,50,59,,46,85,26,36,18,22,Australian Open,3,2,20,,,Y. Bai,23,39,55,C. Smith,Y. Bai,6,6,3,2,2,,,1st Round Qualifying
53.84615384615385,,,1,3,,,65,56,46.15384615384615,16,44,35,16,01:16:00,54,62,,68,68,44,35,19,30,Australian Open,6,7,24,,,O. Anderson,27,59,67,G. Van Peperzeel,O. Anderson,6,6,3,2,4,,,1st Round Qualifying
58.333333333333336,,,3,6,,,61,56,41.66666666666667,17,42,50,19,01:33:00,68,90,,69,74,42,50,34,31,Australian Open,5,7,27,,,D. Novikov,40,48,63,M. Polmans,D. Novikov,6,7,6,2,4,,,1st Round Qualifying
53.333333333333336,,,5,2,,,55,57,46.666666666666664,21,48,52,21,02:12:00,69,92,,87,81,48,52,36,39,Australian Open,7,8,39,,,A. Menendez-Maceiras,40,53,54,A. Ghem,A. Menendez-Maceiras,6,4,6,3,3,3,6,1st Round Qualifying
54.54545454545454,,,8,8,,,64,55,45.45454545454545,21,61,59,23,02:21:00,69,107,,95,79,61,59,41,48,Australian Open,5,6,34,,,K. De Schepper,48,48,62,B. Trinker,K. De Schepper,6,7,5,3,7,0,6,1st Round Qualifying
21.428571428571427,,,0,4,,,71,69,78.57142857142857,12,46,50,12,01:23:00,66,72,,65,76,46,50,33,35,Australian Open,11,3,19,,,M. Donati,22,55,63,B. Rola,M. Donati,2,6,1,3,6,4,6,1st Round Qualifying
55.55555555555556,,,1,3,,,49,61,44.44444444444444,18,24,36,10,01:03:00,64,59,,49,79,24,36,23,19,Australian Open,4,5,25,,,I. Sijsling,23,43,72,E. Struvay,I. Sijsling,6,6,3,2,3,,,1st Round Qualifying
44.44444444444444,,,4,3,,,69,63,55.55555555555556,9,37,45,12,01:16:00,62,71,,54,76,37,45,28,28,Australian Open,5,4,17,,,D. Brands,26,46,53,L. Djere,D. Brands,6,6,4,2,4,,,1st Round Qualifying
83.33333333333334,,,4,7,,,65,55,16.666666666666664,18,68,47,16,01:46:00,70,85,,104,68,68,47,33,46,Australian Open,3,15,36,,,T. Fabbiano,38,42,50,U. Ignatik,T. Fabbiano,5,6,3,3,7,2,6,1st Round Qualifying
62.5,,,2,6,,,64,57,37.5,24,77,55,16,02:16:00,78,97,,120,66,77,55,43,51,Australian Open,9,15,43,,,A. Gonzalez,42,38,56,H. Laaksonen,A. Gonzalez,6,6,7,3,2,5,7,1st Round Qualifying
55.00000000000001,,,9,8,,,59,60,45.0,24,61,78,29,02:36:00,64,130,,103,82,61,78,50,50,Australian Open,9,11,42,,,N. Gombos,52,56,57,R. Marcora,N. Gombos,6,7,5,3,7,4,6,1st Round Qualifying
64.28571428571429,,,5,7,,,63,61,35.714285714285715,12,54,61,21,02:05:00,54,100,,86,76,54,61,33,41,Australian Open,5,9,32,,,R. Olivo,39,54,38,E. Ymer,R. Olivo,3,6,3,3,6,2,6,1st Round Qualifying
58.333333333333336,,,0,2,,,58,65,41.66666666666667,20,34,50,18,01:25:00,64,77,,59,88,34,50,32,30,Australian Open,5,7,25,,,M. Basic,27,67,80,M. Bourgue,M. Basic,7,6,4,2,6,,,1st Round Qualifying
57.14285714285714,,,0,3,,,62,57,42.857142857142854,24,60,59,25,02:10:00,75,103,,97,77,60,59,44,46,Australian Open,6,8,37,,,P. Herbert,44,57,65,G. Elias,P. Herbert,7,3,6,3,6,3,6,1st Round Qualifying
30.76923076923077,,,0,2,,,71,48,69.23076923076923,9,34,27,16,01:07:00,63,56,,48,85,34,27,17,29,Australian Open,9,4,14,,,F. Tiafoe,29,55,64,J. Donaldson,F. Tiafoe,6,6,3,2,3,,,1st Round Qualifying
72.72727272727273,,,0,2,,,58,54,27.27272727272727,17,39,33,17,01:19:00,79,61,,67,85,39,33,26,33,Australian Open,3,8,28,,,R. Harrison,28,61,61,S. Caruso,R. Harrison,6,7,6,2,3,,,1st Round Qualifying
50.0,,,1,3,,,65,68,50.0,11,31,51,10,01:10:00,63,75,,48,87,31,51,32,27,Australian Open,7,7,17,,,B. Fratangelo,24,42,65,F. Dancevic,B. Fratangelo,7,6,1,2,6,,,1st Round Qualifying
28.57142857142857,,,1,4,,,75,53,71.42857142857143,6,33,32,13,01:01:00,59,60,,44,85,33,32,19,28,Australian Open,5,2,11,,,J. Smith,28,46,55,M. Linzer,J. Smith,6,6,0,2,4,,,1st Round Qualifying
27.77777777777778,,,4,4,,,61,55,72.22222222222221,21,62,54,28,01:55:00,76,99,,101,85,62,54,41,53,Australian Open,13,5,39,,,K. Kravchuk,45,62,54,A. Golubev,K. Kravchuk,6,7,6,3,7,2,6,1st Round Qualifying
100.0,,,2,3,,,57,59,0.0,16,31,29,7,01:04:00,55,49,,54,65,31,29,16,20,Australian Open,0,2,23,,,T. Ito,20,35,70,M. Fucsovics,T. Ito,6,6,3,2,1,,,1st Round Qualifying
50.0,,,2,4,,,63,64,50.0,12,32,38,10,00:55:00,61,59,,51,81,32,38,23,26,Australian Open,4,4,19,,,D. Novak,21,48,63,D. Brown,D. Novak,6,6,3,2,3,,,1st Round Qualifying
56.52173913043478,,,3,4,,,60,47,43.47826086956522,21,50,50,25,02:03:00,72,107,,83,72,50,50,36,36,Australian Open,10,13,33,,,Y. Sugita,57,44,64,A. Pavic,Y. Sugita,7,4,6,3,5,1,6,1st Round Qualifying
12.5,,,1,4,,,78,55,87.5,8,35,38,18,01:04:00,53,69,,45,83,35,38,20,29,Australian Open,7,1,10,,,K. Coppejans,31,58,80,A. De Minaur,K. Coppejans,6,6,3,2,3,,,1st Round Qualifying
71.42857142857143,,,3,1,,,57,64,28.57142857142857,19,43,49,13,01:43:00,71,76,,76,72,43,49,35,31,Australian Open,2,5,33,,,E. Roger-Vasselin,27,48,58,Z. Li,E. Roger-Vasselin,1,6,2,3,6,3,6,1st Round Qualifying
44.44444444444444,,,0,5,,,65,56,55.55555555555556,17,51,48,21,01:39:00,67,86,,78,65,51,48,32,33,Australian Open,5,4,27,,,A. Nedovyesov,38,55,63,M. Ilhan,A. Nedovyesov,2,6,3,3,6,4,6,1st Round Qualifying
33.33333333333333,,,2,0,,,66,63,66.66666666666666,10,38,37,13,01:15:00,65,59,,58,87,38,37,24,33,Australian Open,4,2,20,,,M. Berrer,22,59,50,T. Lamasine,M. Berrer,7,6,2,2,5,,,1st Round Qualifying
92.3076923076923,,,2,2,,,63,55,7.6923076923076925,15,40,36,16,01:29:00,67,65,,63,75,40,36,24,30,Australian Open,1,12,23,,,R. Albot,29,55,65,J. Mertl,R. Albot,6,7,6,2,3,,,1st Round Qualifying
66.66666666666666,,,3,1,,,67,51,33.33333333333333,17,53,40,21,01:42:00,63,78,,79,62,53,40,25,33,Australian Open,2,4,26,,,G. Soeda,38,55,65,M. Marterer,G. Soeda,6,2,6,3,2,4,6,1st Round Qualifying
28.57142857142857,,,2,0,,,68,61,71.42857142857143,14,48,38,16,01:23:00,82,62,,71,79,48,38,31,38,Australian Open,5,2,23,,,L. Giustino,24,67,61,L. Lacko,L. Giustino,6,7,6,2,4,,,1st Round Qualifying
12.5,,,2,1,,,46,64,87.5,17,30,38,8,01:22:00,61,59,,65,83,30,38,23,25,Australian Open,7,1,35,,,J. Struff,21,38,49,H. Podlipnik-Castillo,J. Struff,6,6,3,2,4,,,1st Round Qualifying
40.0,,,2,3,,,54,67,60.0,15,27,40,9,01:05:00,65,60,,50,81,27,40,26,22,Australian Open,3,2,23,,,T. Smyczek,20,45,65,J. Pereira,T. Smyczek,6,6,3,2,3,,,1st Round Qualifying
71.42857142857143,,,0,5,,,62,54,28.57142857142857,12,36,28,9,01:13:00,68,52,,58,81,36,28,19,29,Australian Open,2,5,22,,,A. Falla,24,38,55,D. Nguyen,A. Falla,6,6,4,2,1,,,1st Round Qualifying
50.0,,,1,6,,,78,57,50.0,10,58,54,16,01:34:00,72,94,,74,72,58,54,39,42,Australian Open,2,2,16,,,R. Bemelmans,40,40,63,H. Bourchier,R. Bemelmans,7,6,3,2,6,,,1st Round Qualifying
66.66666666666666,,,5,5,,,59,46,33.33333333333333,20,47,32,21,01:53:00,72,69,,79,70,47,32,23,33,Australian Open,4,8,32,,,D. Evans,37,57,63,L. Vanni,D. Evans,7,6,4,2,6,,,1st Round Qualifying
100.0,,,3,5,,,53,69,0.0,13,32,45,8,01:17:00,51,65,,60,66,32,45,23,21,Australian Open,0,1,28,,,M. Trungelliti,20,40,46,D. Novak,M. Trungelliti,6,6,4,2,3,,,2nd Round Qualifying
75.0,,,2,17,,,63,66,25.0,26,72,92,13,03:04:00,67,140,,115,63,72,92,62,45,Australian Open,3,9,43,,,R. Olivo,48,27,60,B. Mitchell,R. Olivo,6,7,5,3,7,2,6,2nd Round Qualifying
25.0,,,1,3,,,71,62,75.0,11,59,41,8,01:40:00,54,66,,83,64,59,41,22,38,Australian Open,6,2,24,,,A. Nedovyesov,25,32,46,A. Setkic,A. Nedovyesov,6,2,6,3,2,0,6,2nd Round Qualifying
46.15384615384615,,,3,3,,,64,59,53.84615384615385,13,43,40,10,01:25:00,63,68,,67,70,43,40,25,30,Australian Open,7,6,24,,,S. Myneni,28,36,54,L. Giustino,S. Myneni,6,7,6,2,1,,,2nd Round Qualifying
